at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498734570,343894,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,sys_pre_expand}}","-1",
1498734570,348284,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,erl_expand_records}}","-1",
1498734570,350594,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,v3_core}}","-1",
1498734570,357405,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,cerl}}","-1",
1498734570,361782,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,core_lib}}","-1",
1498734570,365650,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,sys_core_fold}}","-1",
1498734570,375279,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,cerl_sets}}","-1",
1498734570,377970,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,cerl_clauses}}","-1",
1498734570,380242,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,erl_bifs}}","-1",
1498734570,383111,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,sys_core_dsetel}}","-1",
1498734570,385969,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,v3_kernel}}","-1",
1498734570,392652,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,v3_life}}","-1",
1498734570,396628,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,v3_codegen}}","-1",
1498734570,403995,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_utils}}","-1",
1498734570,408157,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_a}}","-1",
1498734570,410577,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_jump}}","-1",
1498734570,413528,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_reorder}}","-1",
1498734570,415699,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_block}}","-1",
1498734570,418743,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_except}}","-1",
1498734570,420909,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_bs}}","-1",
1498734570,423284,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_clean}}","-1",
